Período: 20261;Emitido em: 11/02/2026 23:50 h; Data da última atualização: 11/02/2026 19:50h;
Critérios da busca: 
Não foi especificado nenhum critério de busca
Disciplina;Nome da disciplina;Professor;Créd;Turma;Destino;Vag;Turno;Horário/Sala;Horas a Distância;SHF;Horas de extensão;Pré-Req;Depto;
ADM1459; GESTAO DE MARKETING II ;ALESSANDRA BAIOCCHI ANTUNES CORREA;4;2GA;CCI;2;I;SEG 11-13   QUA 11-13   ;0;0;0; SIM ;ADM;
ADM1459; GESTAO DE MARKETING II ;BARBARA PAGLIARI LEVY;4;2GB;CCI;2;I;SEG 07-09   QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1459; GESTAO DE MARKETING II ;ALESSANDRA BAIOCCHI ANTUNES CORREA;4;2GA;QQC;0;I;SEG 11-13   QUA 11-13   ;0;0;0; SIM ;ADM;
ADM1459; GESTAO DE MARKETING II ;BARBARA PAGLIARI LEVY;4;2GB;QQC;14;I;SEG 07-09   QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1459; GESTAO DE MARKETING II ;HORISTA A CONTRATAR;4;2GC;QQC;16;I;SEG 19-21   QUA 19-21   ;0;0;0; SIM ;ADM;
ADM1496; MARKETING PARA EMPREENDEDORES ;DANIEL KAMLOT;4;20A;CCI;0;I;SEG 17-19   ;2;0;0; SIM ;UEP;
ADM1496; MARKETING PARA EMPREENDEDORES ;DANIEL KAMLOT;4;20A;QQC;12;I;SEG 17-19   ;2;0;0; SIM ;UEP;
ADM1500; PROJETO DE TCC ;EDMUNDO EUTROPIO COELHO DE SOUZA;2;2GA;QQC;0;I;SEG 07-09   ;0;0;0; SIM ;ADM;
ADM1500; PROJETO DE TCC ;LIANA RIBEIRO DOS SANTOS;2;2GB;QQC;0;I;TER 17-19   ;0;0;0; SIM ;ADM;
ADM1500; PROJETO DE TCC ;JOAO RENATO DE SOUZA COELHO BENAZZI;2;2GC;QQC;1;I;QUA 21-23   ;0;0;0; SIM ;ADM;
ADM1500; PROJETO DE TCC ;LIANA RIBEIRO DOS SANTOS;2;2GE;QQC;10;I;TER 21-23   ;0;0;0; SIM ;ADM;
ADM1500; PROJETO DE TCC ;JOAO RENATO DE SOUZA COELHO BENAZZI;2;2GF;QQC;0;I;QUA 17-19   ;0;0;0; SIM ;ADM;
ADM1500; PROJETO DE TCC ;JOAO RENATO DE SOUZA COELHO BENAZZI;2;2GG;QQC;0;I;QUA 19-21   ;0;0;0; SIM ;ADM;
ADM1527; TOP ESP EM ESTRATÉGIA I ;MARTIM FRANCISCO DE OLIVEIRA E SILVA;4;2GA;CCI;0;I;SEX 09-11   ;0;2;0; SIM ;ADM;
ADM1527; TOP ESP EM ESTRATÉGIA I ;MARTIM FRANCISCO DE OLIVEIRA E SILVA;4;2GA;QQC;0;I;SEX 09-11   ;0;2;0; SIM ;ADM;
ADM1612; GESTAO DE PROJETOS ;MARCOS LOPEZ REGO;4;2GA;QQC;5;I;SEG 19-21   QUA 19-21   ;0;0;0; SIM ;ADM;
ADM1616; GOV COMP E ÉTICA CORPORATIVA ;CIRO VALERIO TORRES DA SILVA;4;2GA;QQC;16;I;SEG 21-23   QUA 21-23   ;0;0;0; SIM ;ADM;
ADM1625; DESENV MODELOS NEG INOVADORES ;SYLVIA THEREZINHA DE ALMEIDA MORAES;4;2GA;QQC;5;I;SEG 07-09   QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1630; O INDIVIDUO E O TRABALHO ;FERNANDA DE OLIVEIRA SANTOS DE SOUZA;4;2GC;QQC;0;I;TER 17-19   QUI 17-19   ;0;0;0;NÃO;ADM;
ADM1635; DECISOES DE NEGOCIOS ;MARTIM FRANCISCO DE OLIVEIRA E SILVA;2;2GA;QQC;12;I;GAVEA;0;2;0; SIM ;ADM;
ADM1635; DECISOES DE NEGOCIOS ;SYLVIA THEREZINHA DE ALMEIDA MORAES;2;2GB;QQC;5;I;GAVEA;0;2;0; SIM ;ADM;
ADM1635; DECISOES DE NEGOCIOS ;MARCELO GHIARONI DE ALBUQUERQUE E SILVA;2;2GC;QQC;18;I;GAVEA;0;2;0; SIM ;ADM;
ADM1636; TI E GESTAO DE NEGOCIOS ;MARTIM FRANCISCO DE OLIVEIRA E SILVA;2;2GA;QQC;0;I;QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1636; TI E GESTAO DE NEGOCIOS ;ANDRE LUIZ ROIZMAN;2;2GB;QQC;1;I;TER 19-21   ;0;0;0; SIM ;ADM;
ADM1636; TI E GESTAO DE NEGOCIOS ;ANDRE LUIZ ROIZMAN;2;2GC;QQC;5;I;QUI 19-21   ;0;0;0; SIM ;ADM;
ADM1638; GEST DA CADEIA DE SUPRIMENTOS ;MARCELO GHIARONI DE ALBUQUERQUE E SILVA;2;2GA;CCI;0;I;SEG 09-11   ;0;0;0;NÃO;ADM;
ADM1638; GEST DA CADEIA DE SUPRIMENTOS ;MARTIM FRANCISCO DE OLIVEIRA E SILVA;2;2GB;CCI;2;I;QUA 17-19   ;0;0;0;NÃO;ADM;
ADM1638; GEST DA CADEIA DE SUPRIMENTOS ;MARCELO GHIARONI DE ALBUQUERQUE E SILVA;2;2GA;QQC;0;I;SEG 09-11   ;0;0;0;NÃO;ADM;
ADM1638; GEST DA CADEIA DE SUPRIMENTOS ;MARTIM FRANCISCO DE OLIVEIRA E SILVA;2;2GB;QQC;3;I;QUA 17-19   ;0;0;0;NÃO;ADM;
ADM1638; GEST DA CADEIA DE SUPRIMENTOS ;MARTIM FRANCISCO DE OLIVEIRA E SILVA;2;2GC;QQC;2;I;QUA 19-21   ;0;0;0;NÃO;ADM;
ADM1640; COMPORTAMENTO ORGANIZACIONAL ;PATRICIA AMELIA TOMEI;4;2GB;CCI;1;I;TER 11-13   QUI 11-13   ;0;0;0;NÃO;ADM;
ADM1640; COMPORTAMENTO ORGANIZACIONAL ;LYGIA ALESSANDRA MAGALHAES MAGACHO;4;2GA;QQC;2;I;TER 09-11   QUI 09-11   ;0;0;0;NÃO;ADM;
ADM1640; COMPORTAMENTO ORGANIZACIONAL ;PATRICIA AMELIA TOMEI;4;2GB;QQC;19;I;TER 11-13   QUI 11-13   ;0;0;0;NÃO;ADM;
ADM1640; COMPORTAMENTO ORGANIZACIONAL ;MARCELO FERNANDEZ PINEIRO;4;2GC;QQC;16;I;TER 19-21   QUI 19-21   ;0;0;0;NÃO;ADM;
ADM1641; TEORIA DAS ORGANIZACOES I ;EDMUNDO EUTROPIO COELHO DE SOUZA;4;2GB;CCI;0;I;TER 09-11   QUI 09-11   ;0;0;0;NÃO;ADM;
ADM1641; TEORIA DAS ORGANIZACOES I ;MARCO AURELIO DE SA RIBEIRO;4;2GA;QQC;15;I;TER 07-09   QUI 07-09   ;0;0;0;NÃO;ADM;
ADM1641; TEORIA DAS ORGANIZACOES I ;EDMUNDO EUTROPIO COELHO DE SOUZA;4;2GB;QQC;0;I;TER 09-11   QUI 09-11   ;0;0;0;NÃO;ADM;
ADM1641; TEORIA DAS ORGANIZACOES I ;EDMUNDO EUTROPIO COELHO DE SOUZA;4;2GC;QQC;11;I;TER 17-19   QUI 17-19   ;0;0;0;NÃO;ADM;
ADM1642; TEORIA DAS ORGANIZACOES II ;EDMUNDO EUTROPIO COELHO DE SOUZA;2;2GA;CCI;2;I;QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1642; TEORIA DAS ORGANIZACOES II ;EDMUNDO EUTROPIO COELHO DE SOUZA;2;2GA;QQC;0;I;QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1642; TEORIA DAS ORGANIZACOES II ;ANA HELOISA DA COSTA LEMOS;2;2GB;QQC;3;I;SEG 19-21   ;0;0;0; SIM ;ADM;
ADM1643; COMPETENCIAS DE GESTAO ;PATRICIA ITALA FERREIRA;2;2GA;QQC;2;I;GAVEA;0;2;0; SIM ;ADM;
ADM1643; COMPETENCIAS DE GESTAO ;PATRICIA ITALA FERREIRA;2;2GB;QQC;10;I;GAVEA;0;2;0; SIM ;ADM;
ADM1643; COMPETENCIAS DE GESTAO ;MARCELO FERNANDEZ PINEIRO;2;2GC;QQC;10;I;GAVEA;0;2;0; SIM ;ADM;
ADM1644; GESTAO DE PESSOAS ;PATRICIA ITALA FERREIRA;4;2GB;CCI;0;I;SEG 11-13   QUA 11-13   ;0;0;0;NÃO;ADM;
ADM1644; GESTAO DE PESSOAS ;RENATA MACHADO RIBEIRO NUNES;4;2GA;QQC;18;I;SEG 09-11   QUA 09-11   ;0;0;0;NÃO;ADM;
ADM1644; GESTAO DE PESSOAS ;PATRICIA ITALA FERREIRA;4;2GB;QQC;6;I;SEG 11-13   QUA 11-13   ;0;0;0;NÃO;ADM;
ADM1644; GESTAO DE PESSOAS ;ANDREA GOMES BITTENCOURT;4;2GC;QQC;8;I;SEG 21-23   QUA 21-23   ;0;0;0;NÃO;ADM;
ADM1646; INOVACAO EM MODELOS DE NEGOCIO ;SYLVIA THEREZINHA DE ALMEIDA MORAES;2;2GA;QQC;8;I;GAVEA;0;2;0; SIM ;ADM;
